web-scraper-order,web-scraper-start-url,links,links-href,picture-src,name,old price,new price,discount,model_number,model name,series,color,type,suitable for,cpu brand,cpu name,cpu generation ,ssd capacity,ram capacity ,ram type,gpu processor,os system,usb port,screen size,screen resolution,screen type,speaker,mic,wireless LAN ,bluetooth,weight,webcam,warranty ,rating,rating performance,rating battery ,rating design,rating display 
"1715371100-1","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...3.88 Ratings & 1 ReviewsAMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty₹35,900₹59,99040% offFree deliveryOnly few leftBank Offer","https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm7eeb149458163?pid=COMGXPH6XJE9ZKGZ&lid=LSTCOMGXPH6XJE9ZKGZUR4LPN&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_24&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGXPH6XJE9ZKGZ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/7/n/r/al15-51-thin-and-light-laptop-acer-original-imagrtakqhprf7eu.jpeg?q=70&crop=false","Acer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 inch, Steel Grey, 1.59 Kg)","₹59,990","₹35,900","40% off","AL15-41","AL15-41","Aspire Lite","Steel Grey","Thin and Light Laptop","Processing & Multitasking","AMD","Ryzen 5 Hexa Core","","512 GB","DDR4","DDR4","AMD Radeon AMD","Windows 11 Home","1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)","39.62 cm (15.6 inch)","1920 x 1080 Pixel","Full HD","Yes","Yes","Wi-Fi 5","v5.1","1.59 Kg","HD webcam with 1280 x 720 resolution, 720p HD audio/video recording","1 Year Onsite warranty","3.8","","","",""
"1715371100-2","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...3.88 Ratings & 1 ReviewsAMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty₹35,900₹59,99040% offFree deliveryOnly few leftBank Offer","https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm7eeb149458163?pid=COMGXPH6XJE9ZKGZ&lid=LSTCOMGXPH6XJE9ZKGZUR4LPN&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_24&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGXPH6XJE9ZKGZ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/7/n/r/al15-51-thin-and-light-laptop-acer-original-imagrtakqhprf7eu.jpeg?q=70&crop=false","Acer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 inch, Steel Grey, 1.59 Kg)","₹59,990","₹35,900","40% off","AL15-41","AL15-41","Aspire Lite","Steel Grey","Thin and Light Laptop","Processing & Multitasking","AMD","Ryzen 5 Hexa Core","","512 GB","DDR4","DDR4","AMD Radeon AMD","Windows 11 Home","1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)","39.62 cm (15.6 inch)","1920 x 1080 Pixel","Full HD","Yes","Yes","Wi-Fi 5","v5.1","1.59 Kg","HD webcam with 1280 x 720 resolution, 720p HD audio/video recording","1 Year Onsite warranty","8 Ratings &","","","",""
"1715371100-3","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...3.88 Ratings & 1 ReviewsAMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty₹35,900₹59,99040% offFree deliveryOnly few leftBank Offer","https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm7eeb149458163?pid=COMGXPH6XJE9ZKGZ&lid=LSTCOMGXPH6XJE9ZKGZUR4LPN&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_24&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGXPH6XJE9ZKGZ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/7/n/r/al15-51-thin-and-light-laptop-acer-original-imagrtakqhprf7eu.jpeg?q=70&crop=false","Acer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 inch, Steel Grey, 1.59 Kg)","₹59,990","₹35,900","40% off","AL15-41","AL15-41","Aspire Lite","Steel Grey","Thin and Light Laptop","Processing & Multitasking","AMD","Ryzen 5 Hexa Core","","512 GB","DDR4","DDR4","AMD Radeon AMD","Windows 11 Home","1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)","39.62 cm (15.6 inch)","1920 x 1080 Pixel","Full HD","Yes","Yes","Wi-Fi 5","v5.1","1.59 Kg","HD webcam with 1280 x 720 resolution, 720p HD audio/video recording","1 Year Onsite warranty","1 Reviews","","","",""
"1715371105-4","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 14 Metal Body Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/Windows 11 Pro) A314-36M Th...4.319 Ratings & 3 ReviewsIntel Core i3 Processor (12th Gen)8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty₹31,990₹45,99930% offFree deliveryUpto ₹28,000 Off on ExchangeBank Offer","https://www.flipkart.com/acer-aspire-3-14-metal-body-intel-core-i3-12th-gen-n305-8-gb-512-gb-ssd-windows-11-pro-a314-36m-thin-light-laptop/p/itm5b173f531d83f?pid=COMGWYG89UBSFZHZ&lid=LSTCOMGWYG89UBSFZHZPMNDHX&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_23&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGWYG89UBSFZHZ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/z/c/r/-original-imagy2u2n3hhnaah.jpeg?q=70&crop=false","Acer Aspire 3 14 Metal Body Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/Windows 11 Pro) A314-36M Thin and Light Laptop  (14 Inch, Silver, 1.4 Kg)","₹45,999","₹31,990","30% off","A314-36M","A314-36M","Aspire 3 14 Metal Body","Silver","Thin and Light Laptop","Processing & Multitasking","Intel","Core i3","12th Gen","512 GB","8 GB","LPDDR5","Intel Integrated UHD","Windows 11 Pro","1 x USB Type-C port with DC-in, 2 x USB 3.2 port","35.56 cm (14 Inch)","1920 X 1080 Pixel","","Yes","Yes","802.11a/b/g/n/ac+ax wireless LAN","v5.1","1.4 Kg","T-Type HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","4.3","","","",""
"1715371105-5","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 14 Metal Body Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/Windows 11 Pro) A314-36M Th...4.319 Ratings & 3 ReviewsIntel Core i3 Processor (12th Gen)8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty₹31,990₹45,99930% offFree deliveryUpto ₹28,000 Off on ExchangeBank Offer","https://www.flipkart.com/acer-aspire-3-14-metal-body-intel-core-i3-12th-gen-n305-8-gb-512-gb-ssd-windows-11-pro-a314-36m-thin-light-laptop/p/itm5b173f531d83f?pid=COMGWYG89UBSFZHZ&lid=LSTCOMGWYG89UBSFZHZPMNDHX&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_23&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGWYG89UBSFZHZ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/z/c/r/-original-imagy2u2n3hhnaah.jpeg?q=70&crop=false","Acer Aspire 3 14 Metal Body Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/Windows 11 Pro) A314-36M Thin and Light Laptop  (14 Inch, Silver, 1.4 Kg)","₹45,999","₹31,990","30% off","A314-36M","A314-36M","Aspire 3 14 Metal Body","Silver","Thin and Light Laptop","Processing & Multitasking","Intel","Core i3","12th Gen","512 GB","8 GB","LPDDR5","Intel Integrated UHD","Windows 11 Pro","1 x USB Type-C port with DC-in, 2 x USB 3.2 port","35.56 cm (14 Inch)","1920 X 1080 Pixel","","Yes","Yes","802.11a/b/g/n/ac+ax wireless LAN","v5.1","1.4 Kg","T-Type HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","19 Ratings &","","","",""
"1715371105-6","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 14 Metal Body Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/Windows 11 Pro) A314-36M Th...4.319 Ratings & 3 ReviewsIntel Core i3 Processor (12th Gen)8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty₹31,990₹45,99930% offFree deliveryUpto ₹28,000 Off on ExchangeBank Offer","https://www.flipkart.com/acer-aspire-3-14-metal-body-intel-core-i3-12th-gen-n305-8-gb-512-gb-ssd-windows-11-pro-a314-36m-thin-light-laptop/p/itm5b173f531d83f?pid=COMGWYG89UBSFZHZ&lid=LSTCOMGWYG89UBSFZHZPMNDHX&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_23&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGWYG89UBSFZHZ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/z/c/r/-original-imagy2u2n3hhnaah.jpeg?q=70&crop=false","Acer Aspire 3 14 Metal Body Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/Windows 11 Pro) A314-36M Thin and Light Laptop  (14 Inch, Silver, 1.4 Kg)","₹45,999","₹31,990","30% off","A314-36M","A314-36M","Aspire 3 14 Metal Body","Silver","Thin and Light Laptop","Processing & Multitasking","Intel","Core i3","12th Gen","512 GB","8 GB","LPDDR5","Intel Integrated UHD","Windows 11 Pro","1 x USB Type-C port with DC-in, 2 x USB 3.2 port","35.56 cm (14 Inch)","1920 X 1080 Pixel","","Yes","Yes","802.11a/b/g/n/ac+ax wireless LAN","v5.1","1.4 Kg","T-Type HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","3 Reviews","","","",""
"1715371111-7","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Predator Helios Neo 16 2024 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB...Intel Core i7 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year Carry-in Warranty₹1,32,990₹1,42,9996% offFree deliveryUpto ₹31,000 Off on ExchangeBank Offer","https://www.flipkart.com/acer-predator-helios-neo-16-2024-intel-core-i7-14th-gen-14700hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-phn16-72-77gz-gaming-laptop/p/itm4e69416e1cdbf?pid=COMGZKFB3ZTQGRT4&lid=LSTCOMGZKFB3ZTQGRT4YMVGPV&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_22&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGZKFB3ZTQGRT4.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/x/h/2/-original-imahyf9h8fjs92ne.jpeg?q=70&crop=false","Acer Predator Helios Neo 16 2024 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) PHN16-72-77GZ Gaming Laptop  (16 Inch, Abyssal Black, 2.8 Kg)","₹1,42,999","₹1,32,990","6% off","PHN16-72-77GZ","PHN16-72","Predator Helios Neo 16 2024","Abyssal Black","Gaming Laptop","Processing & Multitasking","Intel","Core i7","14th Gen","1 TB","","DDR5","NVIDIA GeForce RTX 4050","Windows 11 Home","1 x USB 3.2 Gen1 Port, 1 x USB 3.2 Gen2 Port, 1x USB 3.2 Gen 2 Port with power-off charging, Two USB Type-C Port (Thunderbolt 4)","40.64 cm (16 Inch)","1920 x 1200 Pixel","WUXGA, IPS (In-Plane Switching) technology, high-brightness (400 nits) Acer ComfyView LED-backlit TFT LCD, supporting 165 Hz, Grey to Grey 3 ms by Overdrive, Nvidia Advanced Optimus capable, 16:10 aspect ratio, sRGB 100%, Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly","Yes","Yes","Killer Wireless Wi-Fi 6E 1675i","v5.3","2.8 Kg","UFC with Narrow USB HD camera compatible with windows with Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic","1 Year Carry-in Warranty","","","","",""
"1715371116-8","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chromebook3.573 Ratings & 8 ReviewsIntel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty₹21,990₹33,99935% offFree deliveryOnly few leftUpto ₹13,500 Off on Exchange","https://www.flipkart.com/acer-intel-celeron-dual-core-n4500-8-gb-64-gb-emmc-storage-chrome-os-cb314-3h-cobz-chromebook/p/itmff88708f502a7?pid=COMGSV3GZYUDG6NP&lid=LSTCOMGSV3GZYUDG6NP2QWBZA&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_21&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGSV3GZYUDG6NP.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/0/5/-original-imagvrefuybuvbe5.jpeg?q=70&crop=false","Acer Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chromebook  (14 inch, Silver, 1.45 Kg)","₹33,999","₹21,990","35% off","CB314-3H-COBZ","CB314-3H","","Silver","Chromebook","Processing & Multitasking","Intel","Celeron Dual Core","","","","LPDDR4X","Intel Integrated UHD","Chrome","2 x USB 3.2 Gen 1 Type-C port, 2 x USB 3.2 Gen 1 Type-A port","35.56 cm (14 inch)","1920 X 1080 Pixel","HD LED-backlit TFT LCD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","v5.1","1.45 Kg","UFC with Narrow USB HD camera, Compatible with Chromebook, 1280 x 720 resolution, 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","3.5","3.0","3.5","3.4","3.2"
"1715371116-9","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chromebook3.573 Ratings & 8 ReviewsIntel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty₹21,990₹33,99935% offFree deliveryOnly few leftUpto ₹13,500 Off on Exchange","https://www.flipkart.com/acer-intel-celeron-dual-core-n4500-8-gb-64-gb-emmc-storage-chrome-os-cb314-3h-cobz-chromebook/p/itmff88708f502a7?pid=COMGSV3GZYUDG6NP&lid=LSTCOMGSV3GZYUDG6NP2QWBZA&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_21&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGSV3GZYUDG6NP.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/0/5/-original-imagvrefuybuvbe5.jpeg?q=70&crop=false","Acer Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chromebook  (14 inch, Silver, 1.45 Kg)","₹33,999","₹21,990","35% off","CB314-3H-COBZ","CB314-3H","","Silver","Chromebook","Processing & Multitasking","Intel","Celeron Dual Core","","","","LPDDR4X","Intel Integrated UHD","Chrome","2 x USB 3.2 Gen 1 Type-C port, 2 x USB 3.2 Gen 1 Type-A port","35.56 cm (14 inch)","1920 X 1080 Pixel","HD LED-backlit TFT LCD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","v5.1","1.45 Kg","UFC with Narrow USB HD camera, Compatible with Chromebook, 1280 x 720 resolution, 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","73 Ratings &","3.0","3.5","3.4","3.2"
"1715371116-10","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chromebook3.573 Ratings & 8 ReviewsIntel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty₹21,990₹33,99935% offFree deliveryOnly few leftUpto ₹13,500 Off on Exchange","https://www.flipkart.com/acer-intel-celeron-dual-core-n4500-8-gb-64-gb-emmc-storage-chrome-os-cb314-3h-cobz-chromebook/p/itmff88708f502a7?pid=COMGSV3GZYUDG6NP&lid=LSTCOMGSV3GZYUDG6NP2QWBZA&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_21&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGSV3GZYUDG6NP.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/0/5/-original-imagvrefuybuvbe5.jpeg?q=70&crop=false","Acer Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chromebook  (14 inch, Silver, 1.45 Kg)","₹33,999","₹21,990","35% off","CB314-3H-COBZ","CB314-3H","","Silver","Chromebook","Processing & Multitasking","Intel","Celeron Dual Core","","","","LPDDR4X","Intel Integrated UHD","Chrome","2 x USB 3.2 Gen 1 Type-C port, 2 x USB 3.2 Gen 1 Type-A port","35.56 cm (14 inch)","1920 X 1080 Pixel","HD LED-backlit TFT LCD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","v5.1","1.45 Kg","UFC with Narrow USB HD camera, Compatible with Chromebook, 1280 x 720 resolution, 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","8 Reviews","3.0","3.5","3.4","3.2"
"1715371122-11","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE Chromebook3.9104 Ratings & 12 ReviewsIntel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty₹17,990₹33,99947% offFree deliverySave extra with combo offersUpto ₹11,500 Off on Exchange","https://www.flipkart.com/acer-intel-celeron-dual-core-n4500-8-gb-128-gb-emmc-storage-chrome-os-cb314-3h-c5qe-chromebook/p/itmf7e8ce733eb56?pid=COMGSV3G3RYBAHX4&lid=LSTCOMGSV3G3RYBAHX4EEGVFD&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_20&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGSV3G3RYBAHX4.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/0/5/-original-imagvrefuybuvbe5.jpeg?q=70&crop=false","Acer Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE Chromebook  (14 inch, Silver, 1.45 Kg)","₹33,999","₹17,990","47% off","CB314-3H-C5QE","CB314-3H","","Silver","Chromebook","Processing & Multitasking","Intel","Celeron Dual Core","","","","LPDDR4X","Intel Integrated UHD","Chrome","2 x USB 3.2 Gen 1 Type-C port, 2 x USB 3.2 Gen 1 Type-A port","35.56 cm (14 inch)","1920 X 1080 Pixel","HD LED-backlit TFT LCD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","v5.1","1.45 Kg","UFC with Narrow USB HD camera, Compatible with Chromebook, 1280 x 720 resolution, 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","3.9","3.5","3.7","3.8","3.9"
"1715371122-12","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE Chromebook3.9104 Ratings & 12 ReviewsIntel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty₹17,990₹33,99947% offFree deliverySave extra with combo offersUpto ₹11,500 Off on Exchange","https://www.flipkart.com/acer-intel-celeron-dual-core-n4500-8-gb-128-gb-emmc-storage-chrome-os-cb314-3h-c5qe-chromebook/p/itmf7e8ce733eb56?pid=COMGSV3G3RYBAHX4&lid=LSTCOMGSV3G3RYBAHX4EEGVFD&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_20&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGSV3G3RYBAHX4.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/0/5/-original-imagvrefuybuvbe5.jpeg?q=70&crop=false","Acer Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE Chromebook  (14 inch, Silver, 1.45 Kg)","₹33,999","₹17,990","47% off","CB314-3H-C5QE","CB314-3H","","Silver","Chromebook","Processing & Multitasking","Intel","Celeron Dual Core","","","","LPDDR4X","Intel Integrated UHD","Chrome","2 x USB 3.2 Gen 1 Type-C port, 2 x USB 3.2 Gen 1 Type-A port","35.56 cm (14 inch)","1920 X 1080 Pixel","HD LED-backlit TFT LCD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","v5.1","1.45 Kg","UFC with Narrow USB HD camera, Compatible with Chromebook, 1280 x 720 resolution, 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","104 Ratings &","3.5","3.7","3.8","3.9"
"1715371122-13","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE Chromebook3.9104 Ratings & 12 ReviewsIntel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty₹17,990₹33,99947% offFree deliverySave extra with combo offersUpto ₹11,500 Off on Exchange","https://www.flipkart.com/acer-intel-celeron-dual-core-n4500-8-gb-128-gb-emmc-storage-chrome-os-cb314-3h-c5qe-chromebook/p/itmf7e8ce733eb56?pid=COMGSV3G3RYBAHX4&lid=LSTCOMGSV3G3RYBAHX4EEGVFD&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_20&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGSV3G3RYBAHX4.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/0/5/-original-imagvrefuybuvbe5.jpeg?q=70&crop=false","Acer Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE Chromebook  (14 inch, Silver, 1.45 Kg)","₹33,999","₹17,990","47% off","CB314-3H-C5QE","CB314-3H","","Silver","Chromebook","Processing & Multitasking","Intel","Celeron Dual Core","","","","LPDDR4X","Intel Integrated UHD","Chrome","2 x USB 3.2 Gen 1 Type-C port, 2 x USB 3.2 Gen 1 Type-A port","35.56 cm (14 inch)","1920 X 1080 Pixel","HD LED-backlit TFT LCD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","v5.1","1.45 Kg","UFC with Narrow USB HD camera, Compatible with Chromebook, 1280 x 720 resolution, 720p HD video at 30 fps with Temporal Noise Reduction","1 Year Onsite Warranty","12 Reviews","3.5","3.7","3.8","3.9"
